name,a,b,c
30001,,,0.003
30002,0.076,0.004,0.123
30003,0.010,0.007,0.040
30004,0.011,0.007,0.030
30005,,0.022,
30006,0.149,0.166,0.170
30007,,0.020,
30008,,0.001,
30009,,,0.018
30010,0.002,0.008,0.001
30011,0.004,0.004,0.004
30012,0.155,0.167,0.178
30013,0.149,0.166,0.170
30014,0.001,,
30015,0.022,0.026,0.027
30016,0.001,,0.001
30017,0.001,,0.001
30018,0.045,0.007,0.083
30019,,0.011,
30020,0.046,0.007,0.083
30021,,0.088,
30022,,0.011,
30023,,0.022,
30024,0.006,0.005,0.005
30025,,0.022,
30026,0.000,0.000,0.000
30027,0.022,0.026,0.028
30028,,0.016,
30029,,,0.002
30030,0.033,0.007,0.038
30031,0.076,0.004,0.123
30032,0.033,0.007,0.038
30033,0.033,0.007,0.041
30034,0.023,,
30035,0.033,0.007,0.076
30036,0.000,0.000,0.000
30037,0.034,0.007,0.077
30038,,0.009,
30039,0.034,0.007,0.077
30040,0.057,0.108,0.037
30041,0.034,0.007,0.079
30042,0.008,,
30043,0.012,,
30044,0.029,0.055,0.019
30045,0.004,0.008,0.005
30046,,,0.010
30047,,,0.010
30048,0.017,0.022,0.019
30049,0.007,0.007,0.008
30050,0.007,0.007,0.008
30051,,0.024,
30052,0.052,0.041,0.028
30053,0.011,0.011,0.012
30054,0.007,,
30055,0.012,0.012,0.013
30056,,,0.013
30057,0.012,0.012,0.013
30058,0.022,0.026,0.027
30059,0.001,,
30060,,0.021,
30061,,,0.013
30062,,0.020,
30063,0.004,0.004,0.004
30064,,0.020,
30065,0.004,0.004,0.004
30066,,0.003,
30067,,0.020,
30068,,0.003,
30069,,0.003,
30070,0.052,0.061,0.061
30071,,0.088,
30072,,0.011,
30073,,0.006,
30074,0.052,0.039,0.028
30075,0.028,0.007,0.036
30076,0.019,0.026,0.026
30077,,0.009,
30078,0.033,0.007,0.036
30079,0.019,0.026,0.027
30080,,0.030,
30081,0.020,0.026,0.027
30082,,0.044,
30083,0.010,,
30084,,0.020,
30085,0.027,0.026,0.028
30086,,0.088,
30087,,0.010,
30088,0.021,,
30089,0.011,0.007,0.036
30090,0.027,0.007,0.036
30091,0.019,0.019,0.026
30092,,0.024,
30093,,0.024,
30094,0.009,0.009,0.010
30095,0.024,0.027,0.017
30096,0.129,0.140,0.144
30097,0.024,0.029,0.017
30098,0.007,,
30099,0.012,,
30100,0.002,,
30101,0.012,,
30102,0.016,,
30103,0.002,0.008,0.001
30104,0.011,0.007,0.036
30105,0.052,0.046,0.028
30106,0.064,0.004,0.119
30107,0.024,0.027,0.016
30108,0.064,0.004,0.119
30109,,0.004,
30110,0.029,0.055,0.019
30111,0.052,0.061,0.061
30112,0.065,0.004,0.123
30113,,0.006,
30114,0.029,0.056,0.019
30115,0.071,0.004,0.123
30116,,0.020,
30117,0.002,,
30118,,,0.002
30119,0.052,0.041,0.028
30120,0.014,,
30121,0.021,,
30122,0.021,,
30123,,0.007,
30124,0.110,0.121,0.120
30125,,0.002,
30126,0.024,0.027,0.016
30127,0.003,0.002,0.003
30128,0.151,0.162,0.171
30129,0.155,0.167,0.176
30130,,0.006,
30131,0.046,0.058,0.037
30132,0.018,0.010,0.011
30133,0.121,0.132,0.135
30134,0.018,0.010,0.011
30135,0.001,,
30136,0.123,0.134,0.136
30137,0.133,0.143,0.153
30138,0.024,0.029,0.019
30139,0.007,,
30140,0.011,0.011,0.012
30141,,0.011,
30142,0.011,0.011,0.012
30143,,0.016,
30144,,0.016,
30145,,0.003,
30146,,0.022,
30147,,,0.010
30148,0.050,0.059,0.058
30149,0.022,0.026,0.013
30150,0.050,0.059,0.058
30151,,0.009,
30152,0.024,0.054,0.019
30153,,0.004,
30154,,,0.001
30155,0.024,0.054,0.019
30156,0.050,0.059,0.059
30157,,0.001,
30158,,,0.001
30159,0.052,0.061,0.061
30160,,0.002,
30161,,,0.010
30162,0.024,0.055,0.019
30163,0.275,0.296,0.315
30164,0.275,0.296,0.315
30165,,0.024,
30166,,,0.010
30167,0.002,,
30168,0.052,0.041,0.028
30169,0.002,,
30170,0.052,0.046,0.028
30171,0.011,,
30172,,0.006,
30173,0.052,0.039,0.028
30174,0.052,0.061,0.061
30175,,0.014,
30176,0.047,0.007,0.083
30177,0.025,,
30178,0.064,0.004,0.113
30179,0.064,0.004,0.113
30180,0.018,0.010,0.011
30181,,,0.003
30182,0.002,0.008,0.002
30183,,,0.018
30184,,,0.019
30185,,,0.019
30186,,,0.003
30187,,,0.019
30188,0.016,,
30189,0.016,,
30190,,,0.010
30191,,0.005,
30192,0.116,0.127,0.129
30193,,0.011,
30194,,0.007,
30195,,0.016,
30196,0.133,0.143,0.153
30197,0.005,,
30198,,0.021,
30199,0.010,,
30200,,0.065,
30201,0.044,0.051,0.025
30202,0.010,,
30203,,0.071,
30204,0.014,,
30205,0.018,0.010,0.011
30206,,0.074,
30207,0.014,,
30208,0.020,0.012,0.013
30209,,0.080,
30210,,,0.018
30211,0.096,0.105,0.102
30212,,0.082,
30213,0.007,,
30214,0.107,0.118,0.115
30215,,0.009,
30216,,0.002,
30217,0.107,0.118,0.117
30218,0.003,0.003,0.003
30219,0.011,0.003,0.003
30220,0.044,0.051,0.025
30221,0.016,,
30222,0.129,0.140,0.147
30223,,0.010,
30224,,0.010,
30225,0.003,0.008,0.001
30226,,0.010,
30227,0.021,,
30228,0.022,0.026,0.014
30229,,0.010,
30230,,0.020,
30231,0.002,,
30232,0.005,0.016,0.001
30233,0.021,,
30234,0.101,0.123,0.119
30235,,0.001,
30236,,0.010,
30237,0.032,0.007,0.036
30238,0.275,0.296,0.315
30239,,0.002,
30240,,0.014,
30241,,,0.003
30242,0.052,0.063,0.061
30243,0.275,0.296,0.315
30244,0.018,0.018,0.022
30245,0.024,0.029,0.019
30246,0.018,0.018,0.022
30247,0.046,0.056,0.037
30248,0.018,0.018,0.022
30249,0.024,0.029,0.019
30250,0.018,0.018,0.022
30251,0.018,0.018,0.022
30252,0.019,0.019,0.024
30253,0.155,0.167,0.178
30254,,0.003,
30255,0.019,0.019,0.026
30256,,0.005,
30257,0.011,0.011,0.012
30258,0.019,0.019,0.026
30259,,0.010,
30260,0.011,0.007,0.030
30261,0.007,,
30262,,0.003,
30263,,,0.020
30264,0.025,,
30265,0.025,,
30266,,0.004,
30267,,0.006,
30268,,0.011,
30269,,0.006,
30270,0.009,0.007,0.010
60001,,,
60002,0.019,,
60003,0.000,,
60004,,,0.006
60005,0.014,0.014,0.016
60006,0.081,0.083,0.091
60007,0.000,,
60008,0.169,0.187,0.193
60009,0.169,0.187,0.193
60010,0.002,0.002,0.002
60011,0.014,0.014,0.015
60012,0.007,0.007,0.008
60013,0.015,0.015,0.016
60014,0.011,0.011,0.013
60015,0.007,0.007,0.008
60016,0.022,0.022,0.024
60017,0.008,,
60018,0.008,0.008,0.009
60019,0.040,0.041,0.045
60020,,,0.007
60021,0.169,0.187,0.193
60022,0.008,,
60023,,,0.037
60024,,,0.022
60025,0.008,,
60026,,,0.032
60027,0.169,0.187,0.193
60028,0.005,0.005,0.005
60029,0.169,0.187,0.193
60030,0.007,,
60031,0.007,,
60032,0.015,0.016,0.017
60033,0.015,0.016,0.017
60034,,,0.010
60035,0.015,0.016,0.017
60036,0.015,0.016,0.017
60037,,,0.017
60038,,,0.007
60039,,,0.037
60040,0.009,0.009,0.010
60041,,,0.032
60042,0.009,0.009,0.010
60043,,,0.014
60044,0.169,0.187,0.193
60045,,,0.018
60046,0.005,,
60047,,,0.037
60048,0.015,0.016,0.017
60049,,,0.017
60050,0.009,0.009,0.010
60051,0.002,,
60052,0.014,0.014,0.016
60053,0.002,,
60054,,,0.017
60055,0.081,0.083,0.091
60056,0.022,0.022,0.024
60057,,,0.022
60058,0.011,0.011,0.013
60059,,,0.003
60060,,,0.003
60061,0.169,0.187,0.193
60062,,,0.014
60063,0.169,0.187,0.193
60064,0.071,0.102,0.079
60065,0.071,0.102,0.079
60066,,,0.014
60067,0.005,,
60068,,,
60069,0.019,,
60070,,,0.006
60071,0.169,0.187,0.193
60072,0.001,0.001,0.001
60073,0.002,,
60074,0.169,0.187,0.193
60075,,,0.014
60076,0.021,0.021,0.023
60077,0.004,0.004,0.005
60078,,,0.022
60079,0.004,0.004,0.005
60080,0.014,0.014,0.015
60081,0.008,,
60082,0.169,0.187,0.193
60083,0.013,,
60084,0.014,0.014,0.016
60085,0.005,0.005,0.005
60086,0.000,0.000,0.000
60087,0.000,0.000,0.000
60088,0.000,0.000,0.000
60089,0.019,,
60090,,,0.006
60091,,,
60092,0.002,,
60093,0.002,,
60094,,,
60095,,,0.018
60096,0.169,0.187,0.193
60097,0.169,0.187,0.193
60098,0.022,0.022,0.024
60099,0.011,0.011,0.013
60100,0.169,0.187,0.193
60101,0.005,,
60102,0.169,0.187,0.193
60103,0.005,,
80001,,,
80002,,,
80003,,,
80004,,,
80005,,,
80006,,,
80007,,,
80008,,,
80009,,,
80010,,,
80011,,,
80012,,,
80013,,,
80014,,,
80015,,,
80016,,,
80017,,,
80018,,,
80019,,,
80020,,,
80021,,,
80022,,,
80023,,,
80024,,,
80025,,,
80026,,,
80027,,,
80028,,,
80029,,,
80030,,,
80031,,,
80032,,,
80033,,,
80034,,,
80035,,,
80036,,,
80037,,,
80038,,,
80039,,,
80040,,,
80041,,,
80042,,,
80043,,,
80044,,,
80045,,,
80046,,,
80047,,,
80048,,,
80049,,,
80050,,,
80051,,,
80052,,,
80053,,,
80054,,,
80055,,,
80056,,,
80057,,,
80058,,,
80059,,,
80060,,,
80061,,,
80062,,,
80063,,,
80064,,,
80065,,,
80066,,,
80067,,,
80068,,,
80069,,,
80070,,,
80071,,,
80072,,,
80073,,,
80074,,,
80075,,,
80076,,,
80077,,,
80078,,,
80079,,,
80080,,,
80081,,,
80082,,,
80083,,,
80084,,,
80085,,,
80086,,,
80087,,,
80088,,,
80089,,,
80090,,,
80091,,,
80092,,,
80093,,,
80094,,,
80095,,,
80096,,,
80097,,,
80098,,,
80099,,,
80100,,,
80101,,,
80102,,,
80103,,,
80104,,,
80105,,,
80106,,,
80107,,,
80108,,,
80109,,,
80110,,,
80111,,,
80112,,,
80113,,,
80114,,,
80115,,,
80116,,,
80117,,,
80118,,,
80119,,,
80120,,,
80121,,,
80122,,,
80123,,,
80124,,,
80125,,,
80126,,,
80127,,,
80128,,,
80129,,,
80130,,,
80131,,,
80132,,,
80133,,,
80134,,,
80135,,,
80136,,,
80137,,,
80138,,,
80139,,,
80140,,,
80141,,,
80142,,,
80143,,,
80144,,,
80145,,,
80146,,,
80147,,,
80148,,,
80149,,,
80150,,,
80151,,,
80152,,,
80153,,,
80154,,,
80155,,,
80156,,,
80157,,,
80158,,,
80159,,,
80160,,,
